epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1741,1.34038,0.83961,1.42476,0.88518,0.8387,0.91177,0.41036,1.89591,0.91281,1.8367,0.000543319,0.000543319,0.000543319
2,37.6718,1.37803,0.84916,1.44117,0.86645,0.86328,0.90557,0.40601,1.89037,0.92594,1.84619,0.00109355,0.00109355,0.00109355
3,53.9427,1.44466,0.95511,1.50299,0.82102,0.78166,0.85146,0.35215,1.97543,1.1151,1.90134,0.00163827,0.00163827,0.00163827
4,69.8214,1.4886,0.97668,1.5112,0.8356,0.8346,0.89751,0.40574,1.87895,1.01581,1.82004,0.00164225,0.00164225,0.00164225
5,85.7139,1.49451,0.96717,1.51565,0.85773,0.78652,0.8752,0.35139,1.99672,1.03288,1.97936,0.00163399,0.00163399,0.00163399
6,101.93,1.45867,0.93192,1.5084,0.84449,0.82607,0.87934,0.39274,1.96494,1.07412,1.9243,0.00162574,0.00162574,0.00162574
7,118.467,1.48578,0.94953,1.53027,0.85905,0.82526,0.88212,0.39546,1.84743,1.12407,1.84113,0.00161749,0.00161749,0.00161749
8,134.877,1.47106,0.97208,1.52438,0.84101,0.82728,0.87492,0.38699,1.87984,1.03117,1.83583,0.00160924,0.00160924,0.00160924
9,151.332,1.44856,0.98479,1.50091,0.85857,0.8146,0.88189,0.38566,1.95595,1.00263,1.87179,0.00160099,0.00160099,0.00160099
10,167.837,1.52,1.05707,1.54991,0.81918,0.82488,0.8839,0.37901,1.90149,1.0795,1.8426,0.00159274,0.00159274,0.00159274
11,184.015,1.48982,1.00834,1.53311,0.86014,0.71023,0.85128,0.36125,1.98039,1.13793,1.911,0.00158448,0.00158448,0.00158448
12,200.077,1.45857,0.96105,1.4953,0.82645,0.85086,0.85088,0.37822,1.91835,0.98407,1.95345,0.00157623,0.00157623,0.00157623
13,216.185,1.45122,0.95795,1.50843,0.85473,0.85308,0.90151,0.41138,1.90428,0.99688,1.92863,0.00156798,0.00156798,0.00156798
14,232.162,1.48538,0.93463,1.52932,0.87466,0.83048,0.8949,0.38608,2.01069,0.96094,1.92481,0.00155973,0.00155973,0.00155973
15,248.099,1.49286,0.96117,1.52184,0.8533,0.78837,0.8838,0.35369,1.96913,1.07612,1.97758,0.00155148,0.00155148,0.00155148
16,264.062,1.46558,1.00205,1.52203,0.82136,0.83989,0.88272,0.37499,2.00962,0.99628,1.9254,0.00154323,0.00154323,0.00154323
17,280.014,1.50175,0.97822,1.53207,0.88493,0.82057,0.89823,0.40489,1.87121,1.07876,1.84066,0.00153497,0.00153497,0.00153497
18,295.952,1.45586,0.95333,1.51604,0.86087,0.83254,0.89778,0.41325,1.90342,0.98173,1.85344,0.00152672,0.00152672,0.00152672
19,311.911,1.4424,0.95672,1.49504,0.84185,0.82391,0.85598,0.3846,1.93484,1.06571,1.94097,0.00151847,0.00151847,0.00151847
20,327.957,1.46251,0.92408,1.50622,0.89079,0.86247,0.90629,0.40111,1.88975,0.95167,1.82325,0.00151022,0.00151022,0.00151022
21,343.963,1.46172,0.95446,1.48913,0.86395,0.86396,0.88687,0.38764,1.9065,1.08918,1.88287,0.00150197,0.00150197,0.00150197
22,359.886,1.44833,0.95531,1.50659,0.83813,0.8061,0.8607,0.3503,2.00208,0.99156,1.89091,0.00149372,0.00149372,0.00149372
23,375.892,1.4438,0.94942,1.50008,0.90137,0.86967,0.92143,0.3931,1.94558,0.90841,1.88528,0.00148546,0.00148546,0.00148546
24,391.832,1.45191,0.93408,1.51285,0.8638,0.83938,0.87899,0.38298,1.91096,0.99758,1.91714,0.00147721,0.00147721,0.00147721
25,407.8,1.41103,0.94038,1.49262,0.88544,0.82874,0.90696,0.40029,1.94317,0.965,1.8841,0.00146896,0.00146896,0.00146896
26,423.83,1.49762,0.9473,1.51396,0.82305,0.84911,0.90473,0.41506,1.93384,0.98943,1.86608,0.00146071,0.00146071,0.00146071
27,439.792,1.4478,0.94506,1.48762,0.86964,0.84987,0.88249,0.39016,1.88035,0.99367,1.86694,0.00145246,0.00145246,0.00145246
28,456.484,1.44793,0.93793,1.49035,0.84975,0.82184,0.8818,0.39157,1.90369,1.00177,1.89396,0.00144421,0.00144421,0.00144421
29,473.028,1.43254,0.90785,1.49221,0.84782,0.86328,0.88653,0.39097,1.90167,0.97805,1.87227,0.00143595,0.00143595,0.00143595
30,489.674,1.44402,0.942,1.47462,0.80172,0.86703,0.88933,0.38643,1.90618,1.08858,1.88864,0.0014277,0.0014277,0.0014277
31,506.247,1.41678,0.97597,1.49345,0.85804,0.88744,0.88935,0.40048,1.92447,0.93983,1.85784,0.00141945,0.00141945,0.00141945
