epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.807,1.70092,2.92759,1.71127,0.00666,0.99099,0.44199,0.1464,1.62009,3.3325,1.70485,0.000543319,0.000543319,0.000543319
2,42.6208,1.7244,2.38281,1.74476,0.28269,0.53057,0.29522,0.09246,1.99479,2.88619,2.36667,0.00109355,0.00109355,0.00109355
3,60.0098,1.78577,2.24773,1.78417,0.40045,0.70275,0.45781,0.1793,1.87415,2.69112,2.03697,0.00163827,0.00163827,0.00163827
4,76.8789,1.81072,2.11329,1.78099,0.43366,0.58344,0.47386,0.17097,1.88395,2.9782,2.12864,0.00164225,0.00164225,0.00164225
5,93.7273,1.80072,1.98324,1.73679,0.64229,0.66475,0.65084,0.25166,1.95476,2.43293,1.94417,0.00163399,0.00163399,0.00163399
6,110.5,1.83651,1.86578,1.7746,0.61559,0.52016,0.54365,0.19988,2.20109,3.07622,2.05995,0.00162574,0.00162574,0.00162574
7,127.452,1.75329,1.78574,1.68751,0.75344,0.76629,0.7806,0.29561,1.89388,1.89872,1.86036,0.00161749,0.00161749,0.00161749
8,144.178,1.72611,1.70868,1.65864,0.65627,0.69294,0.69515,0.27688,1.96454,2.19342,1.88529,0.00160924,0.00160924,0.00160924
9,160.895,1.74276,1.68757,1.69375,0.68908,0.70117,0.75893,0.25534,2.02006,1.93367,1.91313,0.00160099,0.00160099,0.00160099
10,177.587,1.77999,1.72056,1.69707,0.62116,0.70246,0.71821,0.28676,1.93339,1.91918,1.83754,0.00159274,0.00159274,0.00159274
11,194.261,1.75421,1.62699,1.7028,0.6991,0.69139,0.70594,0.28691,1.89924,2.00639,1.9242,0.00158448,0.00158448,0.00158448
12,210.937,1.7407,1.5498,1.67348,0.83108,0.77,0.80475,0.32691,1.84684,1.6541,1.74461,0.00157623,0.00157623,0.00157623
13,227.621,1.73868,1.56737,1.67484,0.73337,0.75829,0.78535,0.31577,1.92233,1.62097,1.83442,0.00156798,0.00156798,0.00156798
14,244.298,1.7471,1.49612,1.69134,0.73584,0.74628,0.79431,0.30639,1.98538,1.50571,1.89993,0.00155973,0.00155973,0.00155973
15,261.077,1.74192,1.49056,1.68183,0.75868,0.75604,0.80728,0.31378,1.89591,1.47932,1.8728,0.00155148,0.00155148,0.00155148
16,277.765,1.73941,1.49027,1.70121,0.77665,0.7321,0.78023,0.30607,1.93602,1.52509,1.86656,0.00154323,0.00154323,0.00154323
17,294.458,1.73674,1.44366,1.66484,0.75446,0.78556,0.80747,0.33197,1.94157,1.41756,1.79744,0.00153497,0.00153497,0.00153497
18,311.097,1.70705,1.38016,1.65638,0.77448,0.76426,0.81094,0.33177,1.88505,1.42084,1.78963,0.00152672,0.00152672,0.00152672
19,327.95,1.70376,1.37488,1.66011,0.79288,0.75278,0.78819,0.328,1.91356,1.38903,1.85666,0.00151847,0.00151847,0.00151847
20,344.605,1.72545,1.34967,1.67079,0.77873,0.73069,0.77428,0.32492,1.93225,1.59331,1.8981,0.00151022,0.00151022,0.00151022
21,361.319,1.69725,1.41534,1.67236,0.79445,0.79279,0.79631,0.31025,1.88209,1.41919,1.91033,0.00150197,0.00150197,0.00150197
22,378.239,1.72694,1.40915,1.6791,0.76024,0.78405,0.79301,0.33579,1.82988,1.39448,1.78029,0.00149372,0.00149372,0.00149372
23,395.783,1.70485,1.37124,1.64176,0.8569,0.82643,0.8735,0.36177,1.87688,1.23155,1.75998,0.00148546,0.00148546,0.00148546
24,412.769,1.68997,1.36419,1.66135,0.81899,0.82193,0.85251,0.36748,1.83782,1.25168,1.78906,0.00147721,0.00147721,0.00147721
25,429.542,1.6589,1.31229,1.63591,0.82845,0.84329,0.86594,0.37777,1.8598,1.23071,1.75801,0.00146896,0.00146896,0.00146896
26,446.212,1.69448,1.30281,1.60719,0.84852,0.76629,0.8271,0.3807,1.80744,1.30268,1.73307,0.00146071,0.00146071,0.00146071
27,462.879,1.66193,1.26218,1.607,0.81867,0.79656,0.85065,0.34512,1.89645,1.29624,1.8344,0.00145246,0.00145246,0.00145246
28,479.568,1.68025,1.2904,1.63004,0.79324,0.83466,0.8406,0.34788,1.87548,1.21496,1.80724,0.00144421,0.00144421,0.00144421
29,496.222,1.6847,1.24718,1.63588,0.7618,0.79285,0.82129,0.34962,1.86631,1.2701,1.83399,0.00143595,0.00143595,0.00143595
30,512.902,1.67723,1.28454,1.63613,0.69923,0.76209,0.79314,0.33475,1.83224,1.32377,1.7499,0.0014277,0.0014277,0.0014277
31,529.528,1.64783,1.29134,1.61377,0.84436,0.74377,0.81993,0.36631,1.83097,1.30925,1.77686,0.00141945,0.00141945,0.00141945
32,546.162,1.61704,1.21638,1.59185,0.76803,0.79304,0.836,0.3686,1.9498,1.34384,1.79983,0.0014112,0.0014112,0.0014112
33,562.887,1.66199,1.23223,1.59566,0.78374,0.78587,0.79376,0.31002,1.983,1.52919,1.91735,0.00140295,0.00140295,0.00140295
34,579.547,1.62954,1.31982,1.59841,0.79328,0.78417,0.86391,0.39199,1.81073,1.23771,1.72128,0.0013947,0.0013947,0.0013947
35,596.212,1.65231,1.29008,1.61902,0.79865,0.81073,0.8471,0.35767,1.90601,1.31805,1.81415,0.00138644,0.00138644,0.00138644
36,612.829,1.64939,1.23087,1.62238,0.78801,0.80434,0.83774,0.36378,1.84869,1.21681,1.80011,0.00137819,0.00137819,0.00137819
37,629.442,1.60597,1.23546,1.59721,0.83535,0.80123,0.86305,0.37937,1.88371,1.23486,1.85746,0.00136994,0.00136994,0.00136994
38,646.215,1.62779,1.19067,1.60448,0.8142,0.84814,0.85918,0.38135,1.83459,1.20907,1.79534,0.00136169,0.00136169,0.00136169
39,662.855,1.60577,1.21182,1.6152,0.82651,0.80854,0.84312,0.36664,1.9164,1.22329,1.83224,0.00135344,0.00135344,0.00135344
