epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6294,1.34038,0.83961,1.42476,0.88518,0.8387,0.91177,0.41036,1.89591,0.91281,1.8367,0.000543319,0.000543319,0.000543319
2,42.4016,1.37808,0.8496,1.44132,0.87041,0.86328,0.90478,0.4048,1.88921,0.92766,1.85037,0.00109463,0.00109463,0.00109463
3,59.6744,1.44444,0.95458,1.50344,0.84072,0.79044,0.86049,0.35868,1.97957,1.12358,1.90415,0.00164155,0.00164155,0.00164155
4,78.0532,1.48997,0.97257,1.51342,0.82444,0.83568,0.89037,0.40478,1.85211,1.00999,1.79733,0.0016472,0.0016472,0.0016472
5,95.4876,1.49149,0.96138,1.51594,0.84375,0.78858,0.86375,0.36251,1.97936,1.05143,1.95354,0.00164059,0.00164059,0.00164059
6,112.088,1.46056,0.92363,1.50845,0.84133,0.80928,0.87818,0.38977,1.93741,1.10994,1.89669,0.00163399,0.00163399,0.00163399
7,129.973,1.49934,0.955,1.53705,0.89306,0.8054,0.88104,0.40089,1.84755,1.11147,1.82733,0.00162739,0.00162739,0.00162739
8,146.938,1.49095,0.98272,1.53427,0.84612,0.82435,0.8841,0.38465,1.90776,1.05305,1.86843,0.00162079,0.00162079,0.00162079
9,164.676,1.4505,1.00413,1.50934,0.87347,0.81336,0.88091,0.38367,1.92611,0.98627,1.86547,0.00161419,0.00161419,0.00161419
10,181.215,1.51191,1.05348,1.55102,0.84774,0.79529,0.88001,0.39096,1.91287,1.01644,1.85269,0.00160759,0.00160759,0.00160759
11,198.296,1.50679,1.024,1.55994,0.84005,0.79627,0.85852,0.37376,1.93049,1.02842,1.92424,0.00160099,0.00160099,0.00160099
12,214.824,1.48162,0.98795,1.52215,0.81089,0.84814,0.88186,0.35252,1.93545,1.01693,1.95638,0.00159439,0.00159439,0.00159439
13,231.557,1.48154,0.96888,1.52116,0.7997,0.86737,0.90075,0.40482,1.90466,1.01087,1.89822,0.00158778,0.00158778,0.00158778
14,247.97,1.50136,0.95355,1.54105,0.84028,0.81523,0.86761,0.38151,1.99343,1.00141,1.95887,0.00158118,0.00158118,0.00158118
15,264.31,1.52795,1.00251,1.54705,0.80126,0.81014,0.85545,0.35313,1.94981,1.04494,1.95149,0.00157458,0.00157458,0.00157458
16,280.728,1.48086,0.9544,1.53308,0.86073,0.84911,0.90019,0.39921,1.92907,0.97078,1.93143,0.00156798,0.00156798,0.00156798
17,296.973,1.47618,0.93049,1.53042,0.85581,0.85052,0.89408,0.38152,1.95276,0.96501,1.92164,0.00156138,0.00156138,0.00156138
18,313.279,1.49538,0.95634,1.54463,0.88586,0.82949,0.912,0.40851,1.85115,0.98288,1.81602,0.00155478,0.00155478,0.00155478
19,329.875,1.45644,0.96745,1.50822,0.79903,0.81581,0.88326,0.38944,1.93663,1.09666,1.91713,0.00154818,0.00154818,0.00154818
20,346.279,1.48708,0.93158,1.52906,0.82928,0.88662,0.89296,0.37813,1.96509,0.97015,1.88653,0.00154157,0.00154157,0.00154157
21,362.748,1.47866,0.97019,1.49689,0.82501,0.81771,0.87581,0.38659,1.89231,1.01996,1.93106,0.00153497,0.00153497,0.00153497
22,380.903,1.47628,0.98606,1.53264,0.81683,0.83486,0.88218,0.39106,1.93614,1.02802,1.89631,0.00152837,0.00152837,0.00152837
23,398.544,1.46065,0.97868,1.51783,0.79417,0.79508,0.82768,0.35236,1.97811,1.07983,1.91314,0.00152177,0.00152177,0.00152177
24,414.996,1.47515,0.96751,1.54235,0.83567,0.79073,0.88489,0.39639,1.86244,1.01642,1.81738,0.00151517,0.00151517,0.00151517
25,431.313,1.44455,0.94021,1.52637,0.87369,0.7835,0.87483,0.39676,1.96236,1.08165,1.86909,0.00150857,0.00150857,0.00150857
26,448.105,1.49962,0.95076,1.51276,0.85094,0.87023,0.89341,0.39476,1.90702,0.94167,1.84694,0.00150197,0.00150197,0.00150197
27,465.105,1.47442,0.96515,1.49609,0.86949,0.80022,0.84879,0.33479,2.04792,1.06284,2.00101,0.00149537,0.00149537,0.00149537
28,481.694,1.47748,0.95272,1.499,0.89656,0.87625,0.92397,0.40313,1.95099,0.91886,1.87053,0.00148876,0.00148876,0.00148876
29,498.322,1.45202,0.89702,1.48867,0.86377,0.86899,0.9079,0.40275,1.92636,0.92702,1.85632,0.00148216,0.00148216,0.00148216
30,514.794,1.43881,0.92408,1.48722,0.84491,0.84407,0.89227,0.3889,1.89327,1.013,1.87968,0.00147556,0.00147556,0.00147556
31,530.749,1.43639,0.95889,1.51752,0.85857,0.84651,0.86719,0.37106,1.89974,0.98598,1.90625,0.00146896,0.00146896,0.00146896
32,546.982,1.43179,0.90248,1.49324,0.85029,0.84492,0.90594,0.4247,1.83928,0.98595,1.77506,0.00146236,0.00146236,0.00146236
33,563.214,1.42239,0.90503,1.47493,0.80957,0.83865,0.87449,0.38631,2.02249,1.01746,1.90344,0.00145576,0.00145576,0.00145576
34,579.427,1.41076,0.95909,1.45803,0.87067,0.84513,0.90731,0.39299,1.95121,0.95631,1.83762,0.00144916,0.00144916,0.00144916
35,596.351,1.46393,0.94254,1.50253,0.84082,0.85661,0.86867,0.37279,2.03587,0.95448,1.96662,0.00144256,0.00144256,0.00144256
36,613.108,1.46499,0.91515,1.51204,0.85031,0.82499,0.86289,0.38979,1.90747,1.05951,1.8737,0.00143595,0.00143595,0.00143595
37,629.726,1.38886,0.9102,1.4653,0.86807,0.84933,0.90612,0.40197,1.90498,0.98235,1.8748,0.00142935,0.00142935,0.00142935
38,646.68,1.41534,0.87737,1.4714,0.86779,0.83956,0.89813,0.3769,2.02066,1.00041,1.93746,0.00142275,0.00142275,0.00142275
39,663.146,1.40893,0.92031,1.48582,0.83434,0.83137,0.9017,0.38655,1.94521,0.98978,1.90113,0.00141615,0.00141615,0.00141615
40,679.497,1.41823,0.92486,1.46846,0.85915,0.83506,0.8956,0.39057,1.97908,1.02528,1.88613,0.00140955,0.00140955,0.00140955
41,695.913,1.4133,0.91549,1.48774,0.85028,0.85357,0.90185,0.39977,1.88675,0.95403,1.90881,0.00140295,0.00140295,0.00140295
42,712.47,1.45208,0.94655,1.51747,0.77753,0.79645,0.77949,0.3151,2.12698,1.08265,2.14828,0.00139635,0.00139635,0.00139635
43,728.68,1.3959,0.89758,1.46274,0.84404,0.83587,0.84653,0.32601,2.09262,1.00182,2.05143,0.00138974,0.00138974,0.00138974
44,744.964,1.41077,0.90115,1.49432,0.88759,0.87207,0.9046,0.3863,1.92943,0.92768,1.91326,0.00138314,0.00138314,0.00138314
45,761.329,1.41952,0.88786,1.48489,0.83067,0.85552,0.87244,0.39297,1.94628,0.96621,1.90401,0.00137654,0.00137654,0.00137654
46,777.598,1.41127,0.90155,1.47699,0.87028,0.8895,0.89639,0.38067,1.91945,0.95297,1.94508,0.00136994,0.00136994,0.00136994
47,794.958,1.41412,0.88033,1.48329,0.8724,0.87311,0.91046,0.39085,1.92995,0.94688,1.90718,0.00136334,0.00136334,0.00136334
48,811.713,1.43001,0.89256,1.46673,0.84361,0.87973,0.89803,0.40945,1.93745,0.94456,1.84787,0.00135674,0.00135674,0.00135674
49,828.763,1.39289,0.89618,1.47212,0.82859,0.83515,0.84288,0.34912,2.11857,1.01966,2.01257,0.00135014,0.00135014,0.00135014
50,845.546,1.39745,0.88361,1.44475,0.85268,0.85515,0.90275,0.39106,1.97917,0.98179,1.88797,0.00134354,0.00134354,0.00134354
51,861.595,1.3719,0.90188,1.44799,0.83685,0.85959,0.91508,0.40933,1.86119,0.90272,1.8356,0.00133693,0.00133693,0.00133693
52,877.714,1.42922,0.87336,1.467,0.83691,0.79246,0.87484,0.39684,1.89294,0.99707,1.83429,0.00133033,0.00133033,0.00133033
53,893.723,1.38922,0.8799,1.46318,0.81582,0.83088,0.85221,0.36813,2.04437,1.06321,1.90798,0.00132373,0.00132373,0.00132373
54,909.677,1.35598,0.85022,1.43098,0.8443,0.85147,0.8756,0.37248,1.99378,0.93896,1.88071,0.00131713,0.00131713,0.00131713
55,927.01,1.37536,0.84134,1.43103,0.8914,0.84488,0.92584,0.40616,1.89934,0.90342,1.80277,0.00131053,0.00131053,0.00131053
56,944.014,1.37227,0.8566,1.44488,0.88056,0.86543,0.91544,0.41086,1.93587,0.95748,1.87611,0.00130393,0.00130393,0.00130393
57,960.278,1.34352,0.84287,1.42614,0.86123,0.8382,0.90814,0.40602,1.97012,0.89295,1.91435,0.00129733,0.00129733,0.00129733
58,977.775,1.39163,0.82848,1.45463,0.81017,0.8768,0.8943,0.39274,2.03345,0.9269,2.00614,0.00129072,0.00129072,0.00129072
59,994.333,1.39391,0.87647,1.44964,0.84312,0.88309,0.90093,0.40686,1.87677,0.90726,1.84269,0.00128412,0.00128412,0.00128412
60,1010.93,1.39068,0.8577,1.45496,0.88801,0.85779,0.92309,0.39438,1.98892,0.90039,1.89231,0.00127752,0.00127752,0.00127752
61,1027.15,1.34715,0.81198,1.41651,0.82754,0.84651,0.91991,0.3948,1.95931,0.91544,1.8711,0.00127092,0.00127092,0.00127092
62,1043.69,1.39633,0.83712,1.44747,0.86953,0.86383,0.91973,0.4003,1.91769,0.89701,1.8132,0.00126432,0.00126432,0.00126432
